created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 10 13:39:13 +0000 2023;1733843815348445536;"@kurniasho nah itu brrti narasi2 geblek blg rohingya bukan asli org sana itu mmg cuma dibuat2, konfliknya memang dipelihara dengan sengaja";0;1;0;0;in;125918605;1733833495414473009;nionaalfaen;https://twitter.com/nionaalfaen/status/1733843815348445536
Sun Dec 10 13:38:40 +0000 2023;1733843676982333825;"Prabowo Bakal Kalah Lagi.  Adiba PenghinaNabi DibelaAmin Cakep Besok Senin Ezra snow Rohingya https://t.co/Lg9EUpkRWm";0;0;0;0;in;2801594197;1733843676982333825;keluarga_mk;https://twitter.com/keluarga_mk/status/1733843676982333825
Sun Dec 10 13:38:33 +0000 2023;1733843646167019967;"@UnuyLM10 @man_tan_x @anggaandinata @Berapasatuu Ya emg g apple to apple dr segala sisi. Warga rohingya ini sebagian besar stateless, alias ga diakui sm negaranya. Mereka ini kan jg statusnya pengungsi, ada juga hukum international yg mengatur ini.  https://t.co/nOW3DuwBVO  https://t.co/XXRnWayztK";0;0;0;0;in;185626334;1733329674288386431;shobarizadi;https://twitter.com/shobarizadi/status/1733843646167019967
Sun Dec 10 13:38:25 +0000 2023;1733843613061362165;"YG LAGI VIRAL BOCIL KAKAK ADEK NGEN SAMPAI NANGIS2 😱  LINK DI KOMENTAR   Pelajar bokep indo viral terbaru vcs Vidio Indonesia colmek scandal bumil jilbab mesum bahan coli hijab memek basah Tante sange selebgram Rohingya BEM UGM #SANGE_AAAAAAAAAA #SANGE_AAAAAAAAAAH #viralvideo https://t.co/nVmvnmMkf4";0;1;0;1;in;1725824778844733440;1733843613061362165;LINKCEKBIO33304;https://twitter.com/LINKCEKBIO33304/status/1733843613061362165
Sun Dec 10 13:38:03 +0000 2023;1733843521353011635;"Rohingya ni boleh dikira yahudi juga.  Tapi dark mode.";0;1;0;0;in;787214426801704960;1733843521353011635;mukmintt;https://twitter.com/mukmintt/status/1733843521353011635
Sun Dec 10 13:38:00 +0000 2023;1733843510376431949;"Elektabilitas Anies Selalu Nomor Buncit! Pengamat: Rakyat Tidak Suka Pemimpin yang Cuma Pintar Ngomong, Tapi Eksekusi Kosong!   AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/cksp3vxuRd";0;1;1;1;in;1661761923996876801;1733843505771135460;MarutoRuwan;https://twitter.com/MarutoRuwan/status/1733843510376431949
Sun Dec 10 13:38:00 +0000 2023;1733843507796922580;"PAN Sindir Anies Tidak Layak Gaungkan Perubahan, Nasdem dan PKB Merupakan Bagian Dari Pemerintah!  AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Zara | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/anTfHj2MpU";0;1;1;1;in;1661761923996876801;1733843505771135460;MarutoRuwan;https://twitter.com/MarutoRuwan/status/1733843507796922580
Sun Dec 10 13:37:59 +0000 2023;1733843505771135460;"Halal Haram Hantam! Anies lakukan segala cara demi berkuasa di Indonesia  AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Zara | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/m39PjFc8au";0;1;1;1;in;1661761923996876801;1733843505771135460;MarutoRuwan;https://twitter.com/MarutoRuwan/status/1733843505771135460
Sun Dec 10 13:37:41 +0000 2023;1733843431552868771;"@PartaiSocmed Sesama pendatang saling support tum.. sapatau besok2 ada keturunan rohingya bisa ikut nyapres 😩";0;0;0;0;in;2401764882;1733841464348811647;antisibuk;https://twitter.com/antisibuk/status/1733843431552868771
Sun Dec 10 13:37:37 +0000 2023;1733843412766605583;"Coba jawab kuis mimin! Melelahkan = ... A. Exhausting B. Exhausted  #englishwithrnb Kim Taehyung Adiba Zara #viralvideo TAEHYUNG ON RUNNING MAN Minggu #HARUTO Rohingya https://t.co/T3ayyjlpxs";0;0;0;0;in;1221029518703415298;1733843412766605583;englishwithrnb_;https://twitter.com/englishwithrnb_/status/1733843412766605583
Sun Dec 10 13:37:12 +0000 2023;1733843306248077446;"@dimasajipngst @kellambu @CNNIndonesia Gw inget banget waktu awal isu genocide rohingya. Berbondong2 orang dengan komen save rohingya. Giliran mereka disini, dikata2in terus disuruh balik ke laut buat mati. Munafiknya indon.";0;0;0;0;in;1642919843539329024;1733738622447481004;BroLurkerson;https://twitter.com/BroLurkerson/status/1733843306248077446
Sun Dec 10 13:36:24 +0000 2023;1733843104720150754;"YG LAGI VIRAL BOCIL KAKAK ADEK NGEN SAMPAI NANGIS2 😱  LINK DI KOMENTAR   Pelajar bokep indo viral terbaru vcs Vidio Indonesia colmek scandal bumil jilbab mesum bahan coli hijab memek basah Tante sange selebgram Rohingya BEM UGM #SANGE_AAAAAAAAAA #SANGE_AAAAAAAAAAH #viralvideo https://t.co/Aq6n8uLafF";0;2;0;1;in;1725824778844733440;1733843104720150754;LINKCEKBIO33304;https://twitter.com/LINKCEKBIO33304/status/1733843104720150754
Sun Dec 10 13:36:20 +0000 2023;1733843088593047822;"@PartaiSocmed Pernyataan Anis yg terbaru mau  menampung Rohingya bisa ditonton di sini https://t.co/s6a9qQxSec";0;0;0;0;in;419316788;1733841464348811647;nastarcrumbs;https://twitter.com/nastarcrumbs/status/1733843088593047822
Sun Dec 10 13:35:45 +0000 2023;1733842942551609461;"Elektabilitas Anies Selalu Nomor Buncit! Pengamat: Rakyat Tidak Suka Pemimpin yang Cuma Pintar Ngomong, Tapi Eksekusi Kosong!   AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/HXeCVS3JrQ";0;1;1;1;in;1660558862062325761;1733842938034303445;juliyantiroswti;https://twitter.com/juliyantiroswti/status/1733842942551609461
Sun Dec 10 13:35:44 +0000 2023;1733842940114714813;"PAN Sindir Anies Tidak Layak Gaungkan Perubahan, Nasdem dan PKB Merupakan Bagian Dari Pemerintah!  AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Zara | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/ZeTrSP5yH9";0;1;1;1;in;1660558862062325761;1733842938034303445;juliyantiroswti;https://twitter.com/juliyantiroswti/status/1733842940114714813
Sun Dec 10 13:35:44 +0000 2023;1733842938034303445;"Halal Haram Hantam! Anies lakukan segala cara demi berkuasa di Indonesia  AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Zara | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/HnybMklBcv";0;1;2;2;in;1660558862062325761;1733842938034303445;juliyantiroswti;https://twitter.com/juliyantiroswti/status/1733842938034303445
Sun Dec 10 13:35:02 +0000 2023;1733842762511122727;"YG LAGI VIRAL BOCIL KAKAK ADEK NGEN SAMPAI NANGIS2 😱  LINK DI KOMENTAR   Pelajar bokep indo viral terbaru vcs Vidio Indonesia colmek scandal bumil jilbab mesum bahan coli hijab memek basah Tante sange selebgram Rohingya BEM UGM #SANGE_AAAAAAAAAA #SANGE_AAAAAAAAAAH #viralvideo https://t.co/KcftNBoeuy";0;1;0;1;in;1725294221559840768;1733842762511122727;Syakira1758821;https://twitter.com/Syakira1758821/status/1733842762511122727
Sun Dec 10 13:34:27 +0000 2023;1733842616549318827;"@_BungHerwin Rakjatnya smp compang camping susah makan,, mantan gubernurnya hidup mevvvvahhh  Dipenjara tp masi punya hartaa Hukumannya ya gitu gitu ajaa  Saya Indonesia saya Pancasila #Rohingya https://t.co/AXpLoANLnM";0;0;0;0;in;3945951434;1733676210612523340;novankris8;https://twitter.com/novankris8/status/1733842616549318827
Sun Dec 10 13:34:26 +0000 2023;1733842610886975491;"Elektabilitas Anies Selalu Nomor Buncit! Pengamat: Rakyat Tidak Suka Pemimpin yang Cuma Pintar Ngomong, Tapi Eksekusi Kosong!   AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/0AOZy8UiVc";0;1;1;1;in;1660558167359787008;1733842606306845056;JovaAntoni;https://twitter.com/JovaAntoni/status/1733842610886975491
Sun Dec 10 13:34:25 +0000 2023;1733842608563360158;"PAN Sindir Anies Tidak Layak Gaungkan Perubahan, Nasdem dan PKB Merupakan Bagian Dari Pemerintah!  AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Zara | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/n0tVGrQAkv";0;1;1;1;in;1660558167359787008;1733842606306845056;JovaAntoni;https://twitter.com/JovaAntoni/status/1733842608563360158
Sun Dec 10 13:34:25 +0000 2023;1733842606306845056;"Halal Haram Hantam! Anies lakukan segala cara demi berkuasa di Indonesia  AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Zara | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/1WWnlmaGHh";0;2;1;2;in;1660558167359787008;1733842606306845056;JovaAntoni;https://twitter.com/JovaAntoni/status/1733842606306845056
Sun Dec 10 13:34:25 +0000 2023;1733842606122221728;"@Heraloebss Knp dah ras Rohingya ini sangean betul 🤬";0;0;0;0;in;494772340;1733841530186785198;iqbalaliinel;https://twitter.com/iqbalaliinel/status/1733842606122221728
Sun Dec 10 13:33:57 +0000 2023;1733842489147261310;"Wawancara pengungsi rohingya yg terdampar hari ini tanggal 10, mereka mengaku ada kurang lebih 20 kapal yg sedang dalam perjalanan menuju aceh, dalam satu kapal sekitar 150 orang.  Bayangin 150x20 = 3.000 pengungsi belum termasuk pengungsi yg sudah ada di Indonesia.";0;2;1;2;in;1137636970501267457;1733842489147261310;RXoxolf;https://twitter.com/RXoxolf/status/1733842489147261310
Sun Dec 10 13:33:48 +0000 2023;1733842453533458879;"@_MbakSri_ Nah kan benalu Rohingya mulai berulah. USIR!";0;0;0;0;in;1450588965438779397;1733811389276524681;CuanBettafish;https://twitter.com/CuanBettafish/status/1733842453533458879
Sun Dec 10 13:33:25 +0000 2023;1733842357760713065;"https://t.co/UxdoFs9A8o  Elektabilitas Anies Selalu Nomor Buncit! Pengamat: Rakyat Tidak Suka Pemimpin yang Cuma Pintar Ngomong     AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/i1NqBQl4IW";0;0;0;0;in;338937479;1733842357760713065;almirwantarkam;https://twitter.com/almirwantarkam/status/1733842357760713065
Sun Dec 10 13:33:13 +0000 2023;1733842306372157631;"@PartaiSocmed Gamau googling apa soal apa yg Prabowo sampaikan ketika Aksi 2017 di Patung Kuda?  Dan menyebut soal pencitraan terkait bantuan Rohingya.  Googling dong";0;0;0;0;in;1627613239508074497;1733841464348811647;dehery13;https://twitter.com/dehery13/status/1733842306372157631
Sun Dec 10 13:33:12 +0000 2023;1733842303234736614;"@Lusbowln @melilfoulus @TuaJalanJalan @trojandefender @negativisme Orang Jakarta kebanyakan bicara tanpa solusi, suruh itu UNCHR benahi dan kasihi fasilitas yang mencukupi untuk Rohingya. Ini jumlahnya sudah ribuan ya lama-lama kewalahan juga untuk mengurusinya";0;0;0;0;in;2997100364;1733324243377758378;japarali123;https://twitter.com/japarali123/status/1733842303234736614
Sun Dec 10 13:33:07 +0000 2023;1733842279478239396;"Elektabilitas Anies Selalu Nomor Buncit! Pengamat: Rakyat Tidak Suka Pemimpin yang Cuma Pintar Ngomong, Tapi Eksekusi Kosong!   AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/475KFBDhs5";0;1;1;1;in;1660546744432852992;1733842274273116198;aulialarassatti;https://twitter.com/aulialarassatti/status/1733842279478239396
Sun Dec 10 13:33:06 +0000 2023;1733842276257087551;"PAN Sindir Anies Tidak Layak Gaungkan Perubahan, Nasdem dan PKB Merupakan Bagian Dari Pemerintah!  AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Zara | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/FDvW1MQ8JW";0;1;1;1;in;1660546744432852992;1733842274273116198;aulialarassatti;https://twitter.com/aulialarassatti/status/1733842276257087551
Sun Dec 10 13:33:06 +0000 2023;1733842274273116198;"Halal Haram Hantam! Anies lakukan segala cara demi berkuasa di Indonesia  AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Zara | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/ecZiED38fJ";0;1;1;1;in;1660546744432852992;1733842274273116198;aulialarassatti;https://twitter.com/aulialarassatti/status/1733842274273116198
Sun Dec 10 13:31:55 +0000 2023;1733841979346432508;"Orang rohingya ini belajar sejarah.. dulu ada pendatang dari yaman yang sekarang cucu-cicitnya sukses, malah ada yg nyapres.. siapa tau mereka juga bisa...😅";0;0;0;0;in;2401764882;1733841979346432508;antisibuk;https://twitter.com/antisibuk/status/1733841979346432508
Sun Dec 10 13:31:42 +0000 2023;1733841925650964535;"@johnykarim @VIVAcoid Sejahtera kalo BBM gratis? Atau terima pengungsi Rohingya agar rakyat sendiri sejahtera?";0;0;0;0;in;1242896108071747586;1733405899749052648;Isal17999991;https://twitter.com/Isal17999991/status/1733841925650964535
Sun Dec 10 13:30:33 +0000 2023;1733841634809483464;"Rohingya bangsat. Ini pasti ada yg menunggangi";0;0;0;0;in;2776085498;1733841634809483464;_denuy;https://twitter.com/_denuy/status/1733841634809483464
Sun Dec 10 13:30:08 +0000 2023;1733841530186785198;"Pengungsi Rohingya di Pidie di Kabarkan BABAK BELUR Diamuk Warga Karena di Duga Melakukan Tindak PEMERKOSAAN di Camp Pengungsian   https://t.co/rnyqkeDcg0";0;2;3;9;in;1251824880967774208;1733841530186785198;Heraloebss;https://twitter.com/Heraloebss/status/1733841530186785198
Sun Dec 10 13:30:04 +0000 2023;1733841512348475400;"Halo dek kampang mukulin pendemo aja cepet giliran Rohingya lo tutup mata";0;0;0;0;in;1608143391212331008;1733841512348475400;sza9kusanagi;https://twitter.com/sza9kusanagi/status/1733841512348475400
Sun Dec 10 13:28:07 +0000 2023;1733841022374007042;"Halal Haram Hantam! Anies lakukan segala cara demi berkuasa di Indonesia  AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Zara | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/gtfU4o3Wua";0;1;1;1;in;1635113541152935936;1733841022374007042;PangestuAntonio;https://twitter.com/PangestuAntonio/status/1733841022374007042
Sun Dec 10 13:28:06 +0000 2023;1733841015696732518;"Makin Banyak, 180 Pengungsi Rohingya Mendarat di Pantai Blang Raya Pidie, Aceh https://t.co/cq763bujpb";0;0;0;1;in;71436318;1733841015696732518;KompasTV;https://twitter.com/KompasTV/status/1733841015696732518
Sun Dec 10 13:27:59 +0000 2023;1733840988706365941;"@anggaandinata Karena rohingya ini mayoritas umat ISLAM,maka harus dibenci.  Dan karena saya diorder,maka saya harus sebar kebencian dan fitnah pada pengungsi rohingya.  Hidup kami hanya untuk tebar fitnah demi uang,kami adalah DAJJAL kecil.";0;0;0;0;in;553400440;1733329674288386431;armanhermawan3;https://twitter.com/armanhermawan3/status/1733840988706365941
Sun Dec 10 13:26:57 +0000 2023;1733840729854919026;"Ganjar untuk indonesia AMIN PengkhianatUmat PenghinaNabi DibelaAMIN Survey Rohingya Adiba Giselle Xenoglossy BEM UGM Janjian Cadera FACIAL WASH 📷 https://t.co/lRFkdyKH8U";0;0;0;0;in;1692083244727152640;1733840729854919026;SlotReborn;https://twitter.com/SlotReborn/status/1733840729854919026
Sun Dec 10 13:26:26 +0000 2023;1733840597386232078;"Elektabilitas Anies Selalu Nomor Buncit! Pengamat: Rakyat Tidak Suka Pemimpin yang Cuma Pintar Ngomong, Tapi Eksekusi Kosong!   AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/rrRbuCOPkj";0;1;1;1;in;1660836510135095298;1733840593300926649;AlditioHermawan;https://twitter.com/AlditioHermawan/status/1733840597386232078
Sun Dec 10 13:26:25 +0000 2023;1733840595104522315;"PAN Sindir Anies Tidak Layak Gaungkan Perubahan, Nasdem dan PKB Merupakan Bagian Dari Pemerintah!  AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Zara | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/MT5qklNuTG";0;1;1;1;in;1660836510135095298;1733840593300926649;AlditioHermawan;https://twitter.com/AlditioHermawan/status/1733840595104522315
Sun Dec 10 13:26:25 +0000 2023;1733840593300926649;"Halal Haram Hantam! Anies lakukan segala cara demi berkuasa di Indonesia  AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Zara | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/RIUF763ypj";0;1;1;1;in;1660836510135095298;1733840593300926649;AlditioHermawan;https://twitter.com/AlditioHermawan/status/1733840593300926649
Sun Dec 10 13:26:22 +0000 2023;1733840579807838629;"@bohleupieng @_aishamaharani buat si teteh yg sopan, baca teh yakkk... Pengungsi Rohingya juga masih ummat Nabi Muhammad lohhh...";0;0;0;0;in;794827023281623040;1733830502761791735;Thalibans;https://twitter.com/Thalibans/status/1733840579807838629
Sun Dec 10 13:26:00 +0000 2023;1733840489626079595;"@_e_g_a_n_ Hoaks begini yang bikin pengungsi Rohingya harus menanggung dosa yang nggak pernah mereka perbuat. Di negaranya mereka terancam dibantai. Waktu ngungsi dicerca dan ditolak di mana-mana.";0;0;0;0;in;305738225;1733651301274460459;davosic;https://twitter.com/davosic/status/1733840489626079595
Sun Dec 10 13:25:56 +0000 2023;1733840472353960143;"BEM UGM lohh.. opo ndak bahaya tah 🫣🫣  ~ Minggu PenghinaNabi DibelaAMIN Survey Ezra Rohingya Zara Adiba Pendek Emyu https://t.co/S1p5Jgk534";0;0;2;9;in;3186084565;1733840472353960143;arianiputriii;https://twitter.com/arianiputriii/status/1733840472353960143
Sun Dec 10 13:25:20 +0000 2023;1733840323301027966;"@_antumsaha Inget lu aja masih cem pengungsi rohingya, luntang lantung";0;0;0;0;in;917492835787538432;1733773616922378411;CookieCigs;https://twitter.com/CookieCigs/status/1733840323301027966
Sun Dec 10 13:25:16 +0000 2023;1733840305278062903;"@Bang_Muun @erwinquu @Candj09 @Menlu_RI nah itu, akhirnya jd kepo, bgmn rohingya bisa tau aceh, bgmn mereka bs tau klo aceh itu syariat islam, drmana, dari siapa 🤔 mereka ini beneran pengungsi baru yg kabur dr wilayahnya atau mereka pengungsi yg sama, yg sdh bolak balik ke aceh, kok bisa tau "jeroan" klo aceh itu SI";0;1;0;0;in;1630232155707289600;1733800111493513522;ali_vikal;https://twitter.com/ali_vikal/status/1733840305278062903
Sun Dec 10 13:25:09 +0000 2023;1733840274009600499;"Elektabilitas Anies Selalu Nomor Buncit! Pengamat: Rakyat Tidak Suka Pemimpin yang Cuma Pintar Ngomong, Tapi Eksekusi Kosong!   AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/TVe4L4Muk1";0;1;1;1;in;1660562186002124801;1733840268758257795;aldoprrayoga;https://twitter.com/aldoprrayoga/status/1733840274009600499
Sun Dec 10 13:25:08 +0000 2023;1733840270960234987;"PAN Sindir Anies Tidak Layak Gaungkan Perubahan, Nasdem dan PKB Merupakan Bagian Dari Pemerintah!  AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Zara | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/G4Ty9VGKrm";0;1;1;1;in;1660562186002124801;1733840268758257795;aldoprrayoga;https://twitter.com/aldoprrayoga/status/1733840270960234987
Sun Dec 10 13:25:07 +0000 2023;1733840268758257795;"Halal Haram Hantam! Anies lakukan segala cara demi berkuasa di Indonesia  AMIN PengkhianatUmat | Minggu | PenghinaNabi DibelaAMIN | Zara | Rohingya | BEM UGM | FACIAL WASH | Pendek | Besok Senin | Survey | Mendoza | #LoveStory https://t.co/wKGem1asvN";0;1;1;2;in;1660562186002124801;1733840268758257795;aldoprrayoga;https://twitter.com/aldoprrayoga/status/1733840268758257795
Sun Dec 10 13:25:06 +0000 2023;1733840261875376254;"https://t.co/QI5ome3U69  Ganjar untuk indonesia AMIN PengkhianatUmat PenghinaNabi DibelaAMIN Survey Rohingya Adiba Giselle Xenoglossy BEM UGM Janjian Cadera FACIAL WASH https://t.co/mawYgWuaoU";0;0;0;0;in;1692082314581618688;1733840261875376254;slot_link;https://twitter.com/slot_link/status/1733840261875376254
Sun Dec 10 13:24:58 +0000 2023;1733840230359384120;"@PartaiSocmed @aniesbaswedan Persoalan Rohingya nitu persoalan internasional kenapa bawa2 nama Pa Anies....";0;0;0;0;in;1603602188370341888;1733316038551543965;AuliaRa92876207;https://twitter.com/AuliaRa92876207/status/1733840230359384120
Sun Dec 10 13:24:54 +0000 2023;1733840213049499689;"Ada video seru, cek sekarang juga! https://t.co/r3WPvLfnOa Simaklah videonya ini bapak @jokowi @_TNIAL_ @Puspen_TNI @tni_ad @ListyoSigitP Indonesia mencari makan dengan bekerja, pengungsi Rohingya malah protes porsi makan (USir pengungsi Rohingya) karena tdk pantas mereka dibantu";0;0;0;0;in;1632735627794952192;1733840213049499689;asipokiluper;https://twitter.com/asipokiluper/status/1733840213049499689
Sun Dec 10 13:24:43 +0000 2023;1733840166702531058;"@AvaSiRem Yang bisa editin kasih kata²nya "double standards of indonesia's people: rohingya v palestine"  *(gw gatau nama fontnya dan canva gw gak premium, ini postingan ig trt worlds, aslinya "western politicians: ukraine v palestine" https://t.co/WHK54Cw5je";0;0;0;0;in;1643749012162641921;1733638596173963411;Ujuveveve_;https://twitter.com/Ujuveveve_/status/1733840166702531058
Sun Dec 10 13:24:32 +0000 2023;1733840121903071525;"😺: Santai dulu nggak sih  #kucing  #cat #catlife #kitten #猫 #बिल्ली #pet #Aceh #indonesia #minggu #love #funny  #video #foto  Yaman Zara  Menkopolhukam Pak Sugeng BEM UGM Bawa Rohingya  Prisoner of Azkaban Rebahan Sering Pipip CEASEFIRE NOW MY EXO PARK JISUNG THANK YOU Barack https://t.co/ANKJE5CPEr";0;0;0;1;in;1441582183894773767;1733840121903071525;JustForCalm;https://twitter.com/JustForCalm/status/1733840121903071525
Sun Dec 10 13:24:29 +0000 2023;1733840106749051290;"Menurut kalian rohingya ini gimana?😵‍💫";0;0;0;0;in;293347656;1733840106749051290;fflyingffish;https://twitter.com/fflyingffish/status/1733840106749051290
Sun Dec 10 13:23:52 +0000 2023;1733839952822296823;"Diduga Lakukan Pelecehan Seksual, Pengungsi Rohingya di Pidie Dihajar Massa  https://t.co/we0oO61TlI https://t.co/TpY8ffMdTC";0;0;0;0;in;1551405734436700160;1733839952822296823;AcehSerambi2;https://twitter.com/AcehSerambi2/status/1733839952822296823
