text_clean,text_preprocessed,text_len,polarity_score,polarity
id marshel keknya ada misinformasi dimasyarakat soal pengungsi rohingya deh min sampe timbul kebencian seperti itu,"['id', 'marshel', 'kek', 'ada', 'misinformasi', 'masyarakat', 'ungsi', 'rohingya', 'deh', 'min', 'sampe', 'timbul', 'benci']",16,-3,negative
malam bem ugm open vcs bugil bisa skrng wa    rohingya the k,"['malam', 'bem', 'ugm', 'open', 'vcs', 'bugil', 'skrng', 'wa', 'rohingya', 'the', 'k']",12,-4,negative
id  marshel jgn bawa kemanusian kalau mereka sdiri tdk memanusiakan lingkungan skitar  pngungsi yg ada di indonesia selain rohingyamereka kebanyakan sadar diri min menjaga lingkungan tetap membersihkan lingkungan t tinggal mereka,"['id', 'marshel', 'jgn', 'bawa', 'kemanusian', 'sdiri', 'tdk', 'manusia', 'lingkung', 'skitar', 'pngungsi', 'yg', 'ada', 'indonesia', 'rohingyamereka', 'banyak', 'sadar', 'min', 'jaga', 'lingkung', 'bersih', 'lingkung', 't', 'tinggal']",31,0,neutral
id marshel seandainya aja nih seandainya aja ya kalo ternyata polanya sama gimana lu atau netizen yg bela rohingya lainnya berani ga maju di barisan plg depan lawan mereka seandainya terjadi kudeta kyk israel  tandanya udh ada rohingya bnyk yg fasih inggris lho,"['id', 'marshel', 'anda', 'aja', 'nih', 'anda', 'aja', 'ya', 'kalo', 'pola', 'gimana', 'lu', 'netizen', 'yg', 'bela', 'rohingya', 'berani', 'ga', 'maju', 'baris', 'plg', 'lawan', 'anda', 'kudeta', 'kyk', 'israel', 'tanda', 'udh', 'ada', 'rohingya', 'bnyk', 'yg', 'fasih', 'inggris', 'lho']",43,2,positive
ganjar capres ter satset             makhluk item iqoo malam pil  seneng the k bem ugm pil  jakal pil  rohingya komika indro,"['ganjar', 'capres', 'ter', 'satset', 'makhluk', 'item', 'iqoo', 'malam', 'pil', 'neng', 'the', 'k', 'bem', 'ugm', 'pil', 'jakal', 'pil', 'rohingya', 'komika', 'indro']",20,4,positive
sebetulnya bukan nyinyir pak tapi memang program itu cukup bagus untuk orangorang yang membutuhkan seperti pengungsi rohingya  tapi tidak menyelesaikan masalah untuk rakyat indonesia karena rakyat indonesia bukan mental pengemis dan tidak seperti rutinitas pemilu yang tiap…,"['nyinyir', 'program', 'bagus', 'orangorang', 'butuh', 'ungsi', 'rohingya', 'selesai', 'rakyat', 'indonesia', 'rakyat', 'indonesia', 'mental', 'emis', 'rutinitas', 'milu', 'tiap']",37,-13,negative
elu ajh yg gagal jd manusia manusia otak sampah lu trus warga sendiri d kesampingkan gitu rakyat indonesia jg masih banyak yg kesusahan mgkanya tuh suruh org rohingya punya akhlak baik kmaren ajh udh d kasih enk malah ngelunjak jd wjar ajh kalo d myanmar d bantai tolol sh,"['elu', 'ajh', 'yg', 'gagal', 'jd', 'manusia', 'manusia', 'otak', 'sampah', 'lu', 'trus', 'warga', 'd', 'samping', 'gitu', 'rakyat', 'indonesia', 'jg', 'yg', 'susah', 'mgkanya', 'tuh', 'suruh', 'org', 'rohingya', 'akhlak', 'kmaren', 'ajh', 'udh', 'd', 'kasih', 'enk', 'ngelunjak', 'jd', 'wjar', 'ajh', 'kalo', 'd', 'myanmar', 'd', 'bantai', 'tolol', 'sh']",49,-15,negative
keluaran togel hongkong hari ini  desember            the k jungkook rohingya npwp komika pil  ayaka pil  pil  myanmar,"['keluar', 'togel', 'hongkong', 'desember', 'the', 'k', 'jungkook', 'rohingya', 'npwp', 'komika', 'pil', 'ayaka', 'pil', 'pil', 'myanmar']",17,-3,negative
egan perang kau bilang perang sipil loh ini bukan milisi yg perang itu kelompok aung san suu kyi dan rohingya ini juga dipersekusi oleh partai ini baca sejarah burma makanya,"['egan', 'perang', 'kau', 'bilang', 'perang', 'sipil', 'loh', 'milisi', 'yg', 'perang', 'kelompok', 'aung', 'san', 'suu', 'kyi', 'rohingya', 'persekusi', 'partai', 'baca', 'sejarah', 'burma']",30,-12,negative
dan akun twitter yg sering repost dan munculin isu itu ehm bukannya mau nuduh tp isu rohingya muncul berbarengan dari akun fess kubu  buat video rohingya,"['akun', 'twitter', 'yg', 'repost', 'munculin', 'isu', 'ehm', 'nuduh', 'tp', 'isu', 'rohingya', 'muncul', 'bareng', 'akun', 'fess', 'kubu', 'video', 'rohingya']",26,-4,negative
sebutin  alasan yang membuktikan rohingya punya daya sekuat israel,"['sebutin', 'alas', 'bukti', 'rohingya', 'daya', 'kuat', 'israel']",9,-4,negative
id marshel harus lebih bijak menyikapi rohingya,"['id', 'marshel', 'bijak', 'sikap', 'rohingya']",7,1,positive
malam bem ugm open vcs bugil bisa skrng wa aja  rohingya komika the k,"['malam', 'bem', 'ugm', 'open', 'vcs', 'bugil', 'skrng', 'wa', 'aja', 'rohingya', 'komika', 'the', 'k']",14,-3,negative
kalo punya kuota cari sendiri aja beritanya jangan² lu keturunan rohingya atau orang rohingya mangkanya bilang kek gitu,"['kalo', 'kuota', 'cari', 'aja', 'berita', 'jangan', 'lu', 'turun', 'rohingya', 'orang', 'rohingya', 'mangkanya', 'bilang', 'kek', 'gitu']",18,-13,negative
rohingya gatheli iku kon ngungsi ndek ndi seh sing cocok,"['rohingya', 'gatheli', 'iku', 'kon', 'ngungsi', 'ndek', 'ndi', 'seh', 'sing', 'cocok']",10,6,positive
apakah algoritma tiktok jg sekarang udah mulai ngacak indonesia  kmrn di as surat osama bin laden viral di tiktok dan banyak akun yg mendukung argumen bin laden skrg di tl tiktok indonesia malah rame isu rohingya amp  orang ramai menghujat hingga ingin membantai pengungsi tsb,"['algoritma', 'tiktok', 'jg', 'udah', 'ngacak', 'indonesia', 'kmrn', 'as', 'surat', 'osama', 'bin', 'laden', 'viral', 'tiktok', 'akun', 'yg', 'dukung', 'argumen', 'bin', 'laden', 'skrg', 'tl', 'tiktok', 'indonesia', 'rame', 'isu', 'rohingya', 'amp', 'orang', 'ramai', 'hujat', 'bantai', 'ungsi', 'tsb']",45,-7,negative
polisi tangkap  warga aceh yang bawa kabur  pengungsi rohingya,"['polisi', 'tangkap', 'warga', 'aceh', 'bawa', 'kabur', 'ungsi', 'rohingya']",9,-7,negative
bela rohingya kek bela negara aja si paling alergi tiktok ini buka x buat apa aja masa gitu aja nyuruh orang buat nyari berita,"['bela', 'rohingya', 'kek', 'bela', 'negara', 'aja', 'si', 'alergi', 'tiktok', 'buka', 'x', 'aja', 'gitu', 'aja', 'nyuruh', 'orang', 'nyari', 'berita']",24,-9,negative
kasian betul oknum itu kehilangan ribuan suara grgr blg kita harus bantu rohingya😭 gws ya pak semangat gen brou,"['kasi', 'oknum', 'hilang', 'ribu', 'suara', 'grgr', 'blg', 'bantu', 'rohingya', 'gws', 'ya', 'semangat', 'gen', 'brou']",19,5,positive
neu bahas mslh rohingya dilee pocut karame lom di aceh,"['neu', 'bahas', 'mslh', 'rohingya', 'dilee', 'pocut', 'karame', 'lom', 'aceh']",10,2,positive
bahkan kemarinkemarin saya mo ribut sama orang krn dia bilang pengungsi rohingya di tempatin ke satu pulau lalu dijatuhi nuklir ajg fasisme ignorant dukung palestina tp antirohignya kepala langsung berasa meledyak 🤯,"['kemarinkemarin', 'mo', 'ribut', 'orang', 'krn', 'bilang', 'ungsi', 'rohingya', 'tempatin', 'pulau', 'jatuh', 'nuklir', 'ajg', 'fasisme', 'ignorant', 'dukung', 'palestina', 'tp', 'antirohignya', 'kepala', 'langsung', 'asa', 'meledyak']",32,6,positive
ajak inggris juga yang bawa mereka ke myanmar🤭 myanmar nolak rohingya ya gak salah juga karena dari awal udh beda pemikiran  rohingya bukan orang asli myanmar,"['ajak', 'inggris', 'bawa', 'myanmar', 'myanmar', 'nolak', 'rohingya', 'ya', 'gak', 'salah', 'udh', 'beda', 'pikir', 'rohingya', 'orang', 'asli', 'myanmar']",26,-2,negative
isu rohingya dimunculkan bersamaan dengan sentimen negatif ke anies yg mana video yg bersebaran di tiktok itu hoax  jadi ya keliatan jelas kalo ini black campaign untuk menjatuhkan salah satu paslon wkwkw,"['isu', 'rohingya', 'muncul', 'sama', 'sentimen', 'negatif', 'anies', 'yg', 'video', 'yg', 'baran', 'tiktok', 'hoax', 'ya', 'liat', 'kalo', 'black', 'campaign', 'jatuh', 'salah', 'paslon', 'wkwkw']",32,-9,negative
ayok capres yg berani kontra rohingya langsung ku pilih tanpa babibubebo,"['ayok', 'capres', 'yg', 'berani', 'kontra', 'rohingya', 'langsung', 'ku', 'pilih', 'babibubebo']",11,1,positive
pratamap id  marshel tapi memang sih setelah aku baca dan cari tahu sejarah nya rohingya ini hanya korban orang penguasa militer di myanmar yg ingin mengusir etnis rohingya dari rakhine  demi kekuasaan gitu lah,"['pratamap', 'id', 'marshel', 'sih', 'baca', 'cari', 'sejarah', 'nya', 'rohingya', 'korban', 'orang', 'kuasa', 'militer', 'myanmar', 'yg', 'usir', 'etnis', 'rohingya', 'rakhine', 'kuasa', 'gitu']",34,-3,negative
presiden jokowi memastikan pemerintah akan menindak tegas pelaku tindak pidana perdagangan orang tppo yang diduga terlibat dalam arus pengungsi rohingya di tanah air,"['presiden', 'jokowi', 'perintah', 'tindak', 'laku', 'tindak', 'pidana', 'dagang', 'orang', 'tppo', 'duga', 'libat', 'arus', 'ungsi', 'rohingya', 'tanah', 'air']",23,4,positive
selain voting pilpres  kungkung juga ada promo depo berapa saja udah bisa dapetin motor,"['voting', 'pilpres', 'kungkung', 'ada', 'promo', 'depo', 'udah', 'dapetin', 'motor']",14,4,positive
sodara gua mabok lo lo lagi ngomong ama gua apa ama orang laen sejak kapan gue nerima rohingya yaa coba cari  tweet gue nerima rohingya gue transfer duit nih mau goblog nya pelan lah 😅,"['sodara', 'gua', 'mabok', 'lo', 'lo', 'ngomong', 'ama', 'gua', 'ama', 'orang', 'laen', 'gue', 'nerima', 'rohingya', 'yaa', 'coba', 'cari', 'tweet', 'gue', 'nerima', 'rohingya', 'gue', 'transfer', 'duit', 'nih', 'goblog', 'nya', 'pelan']",35,-12,negative
info pendaftaran rohingya keknya enak banget diem doang dapet sejuta,"['info', 'daftar', 'rohingya', 'kek', 'enak', 'banget', 'diem', 'doang', 'dapet', 'juta']",10,0,neutral
aditya yo coba kamu jd orang aceh sehari saja yg melihat kelakuan orang rohingya dalam tataran ide semua mulut bisa bicara dalam kenyataan mari kita tenggang rasa sesama anak negeri,"['aditya', 'yo', 'coba', 'jd', 'orang', 'aceh', 'hari', 'yg', 'laku', 'orang', 'rohingya', 'tatar', 'ide', 'mulut', 'bicara', 'nyata', 'mari', 'tenggang', 'anak', 'negeri']",30,-1,negative
warga dukunt ganjar mahfud  bem ugm wa aja komika pil  the k seneng rohingya muhammad jungkook pil  internet gratis ganjar cat,"['warga', 'dukunt', 'ganjar', 'mahfud', 'bem', 'ugm', 'wa', 'aja', 'komika', 'pil', 'the', 'k', 'neng', 'rohingya', 'muhammad', 'jungkook', 'pil', 'internet', 'gratis', 'ganjar', 'cat']",21,13,positive
sudi aja sih kl rumah gue seluas indonesia mah lagian tamunya jg hanya  apalagi yg mendanai kehidupan sehari mrk bkn gue tapi pihak ke yg emng ngurusin pengungsi   lagian pengungsi rohingya di indo tuh under  org  saudi aja nampung  lebih,"['sudi', 'aja', 'sih', 'kl', 'rumah', 'gue', 'luas', 'indonesia', 'mah', 'tamu', 'jg', 'yg', 'dana', 'hidup', 'hari', 'mrk', 'bkn', 'gue', 'yg', 'emng', 'ngurusin', 'ungsi', 'ungsi', 'rohingya', 'indo', 'tuh', 'under', 'org', 'saudi', 'aja', 'nampung']",40,8,positive
egan ini ngawur apalagi paragraf kedua lebih ngawur sempet dikasih suaka di myanmar lalu di genocide wtf bro udh baca sejarah siapa itu rohingya dari era sebelum jadi burma,"['egan', 'ngawur', 'paragraf', 'ngawur', 'sempet', 'kasih', 'suaka', 'myanmar', 'genocide', 'wtf', 'bro', 'udh', 'baca', 'sejarah', 'rohingya', 'era', 'burma']",29,3,positive
aishamaharani rusun disana jg sudah lama dipake utk pengungsi ga hanya rohingya tapi jg pengungsi dari afghanistan bahkan kelompok syiah dr madura pun pernah mengungsi sementara disana ini yg masyarakat bnyak gatau tapi asal lempar isu liar,"['aishamaharani', 'rusun', 'sana', 'jg', 'dipake', 'utk', 'ungsi', 'ga', 'rohingya', 'jg', 'ungsi', 'afghanistan', 'kelompok', 'syiah', 'dr', 'madura', 'ungsi', 'sana', 'yg', 'masyarakat', 'bnyak', 'gatau', 'lempar', 'isu', 'liar']",37,-7,negative
penyepong rohingya gini amat tampung aja mereka di rumah lo sana,"['penyepong', 'rohingya', 'gin', 'tampung', 'aja', 'rumah', 'lo']",11,4,positive
sol  iyatermasuk narkoba  emang pada kriminal tu rohingya,"['sol', 'iyatermasuk', 'narkoba', 'emang', 'kriminal', 'tu', 'rohingya']",8,0,neutral
ri  ri  un    bubarkan unhcr dari indonesia susah payah kerja banting tulang supaya bisa mendapatkan hidup yang layak eh instansi satu ini malah ngasih fasilitas full premium ke pengungsi rohingya di indonesia sejahterakan dulu rakyat indonesia secara merata ke seluruh pelosok negeri,"['ri', 'ri', 'un', 'bubar', 'unhcr', 'indonesia', 'susah', 'payah', 'kerja', 'banting', 'tulang', 'hidup', 'layak', 'eh', 'instansi', 'ngasih', 'fasilitas', 'full', 'premium', 'ungsi', 'rohingya', 'indonesia', 'sejahtera', 'rakyat', 'indonesia', 'rata', 'pelosok', 'negeri']",42,-17,negative
bocah sekecil ini berkelahi dengan waktu demi satu impian yang kerap ganggu tidurmu  tapi tidak dengan para pengungsi rohingya ini mereka enak dikasih makan gratis x sehari tanpa bekerja dengan menggunakan apbdapbn  dimana otak pemerintah sekarang ini❓,"['bocah', 'kelah', 'impi', 'kerap', 'ganggu', 'tidur', 'ungsi', 'rohingya', 'enak', 'kasih', 'makan', 'gratis', 'x', 'hari', 'apbdapbn', 'mana', 'otak', 'perintah', 'ini']",37,2,positive
ngeri ya identitas punya tapi gk punya kampung asal usul rohingya ini darimana sih,"['ngeri', 'ya', 'identitas', 'gk', 'kampung', 'usul', 'rohingya', 'darimana', 'sih']",14,-1,negative
aditya pemerintah ga ada kewajiban menampung pengungsi rohingya pemerintah juga berhak menolak polandia dan jepang juga menolak pengungsi   timur tengah dan terbukti negaranya justru aman,"['aditya', 'perintah', 'ga', 'ada', 'wajib', 'tampung', 'ungsi', 'rohingya', 'perintah', 'hak', 'tolak', 'polandia', 'jepang', 'tolak', 'ungsi', 'timur', 'bukti', 'negara', 'aman']",25,-12,negative
id tulis juga donk tentang penghianatan etnis rohingya membantu inggris untuk menjajah myanmar jgn kesedihannya aja di post,"['id', 'tulis', 'donk', 'penghianatan', 'etnis', 'rohingya', 'bantu', 'inggris', 'jajah', 'myanmar', 'jgn', 'sedih', 'aja', 'post']",18,-10,negative
gini kak yamari kita demo kedubes bangladesh😎 etnis rohingya itu pengungsi yg dibawa kemana aja pasti mau lu kira enak hidup dgn status pengungsi perkara kelakuan beberapa org yg salah dan kriminal juga gak gua benerin tapi jgn digeneralisir,"['gin', 'kak', 'yamari', 'demo', 'dubes', 'bangladesh', 'etnis', 'rohingya', 'ungsi', 'yg', 'bawa', 'mana', 'aja', 'lu', 'enak', 'hidup', 'dgn', 'status', 'ungsi', 'perkara', 'laku', 'org', 'yg', 'salah', 'kriminal', 'gak', 'gua', 'benerin', 'jgn', 'digeneralisir']",39,-16,negative
negara lain yg punya masalah indonesia yang repot toh malay amp  thailand aja nolak terangan kok sekarang sampe efeknya di malay mereka minta tanah sejarah orang rohingya juga kaitannya sama orang inggris kok harusnya myanmar dan inggris yg harus diskusi indonesia cmn balikin🤭,"['negara', 'yg', 'indonesia', 'repot', 'malay', 'amp', 'thailand', 'aja', 'nolak', 'terang', 'sampe', 'efek', 'malay', 'tanah', 'sejarah', 'orang', 'rohingya', 'kait', 'orang', 'inggris', 'myanmar', 'inggris', 'yg', 'diskusi', 'indonesia', 'cmn', 'balikin']",43,-1,negative
pantengin aja sebentar lg akun² yg sejenis pake sentimen rohingya utk serang siapa,"['pantengin', 'aja', 'sebentar', 'lg', 'akun', 'yg', 'jenis', 'pake', 'sentimen', 'rohingya', 'utk', 'serang']",13,-8,negative
ah susah mbak ngajarnya ke masyarakat kita salah terus yg diprotesnya karena gak paham isreal yg nyerang yg disalahin semua org yahudi ada satu warga rohingya yg berbuat buruk semuanya ditolak kkb bunuh seseorang semua pen papua dibilang jahat,"['ah', 'susah', 'mbak', 'ngajarnya', 'masyarakat', 'salah', 'yg', 'protes', 'gak', 'paham', 'isreal', 'yg', 'nyerang', 'yg', 'disalahin', 'org', 'yahudi', 'ada', 'warga', 'rohingya', 'yg', 'buat', 'buruk', 'tolak', 'kkb', 'bunuh', 'pen', 'papua', 'bilang', 'jahat']",39,-29,negative
calon wakil presiden nomor urut  muhaimin iskandar menilai kedatangan pengungsi dari kelompok etnis rohingya perlu dihentikan “untuk sementara harus kita setop supaya masyarakat aceh tenang daripada terjadi konflik kata muhaimin lt,"['calon', 'wakil', 'presiden', 'nomor', 'urut', 'muhaimin', 'iskandar', 'nilai', 'datang', 'ungsi', 'kelompok', 'etnis', 'rohingya', 'henti', 'setop', 'masyarakat', 'aceh', 'tenang', 'konflik', 'muhaimin', 'lt']",31,-1,negative
rohingya emg udh berkontribusi apa sih sama negara sampe dikasih pulau,"['rohingya', 'emg', 'udh', 'kontribusi', 'sih', 'negara', 'sampe', 'kasih', 'pulau']",11,0,neutral
